size,smiles,gsk3b,jnk3,qed,sa,max_or_val,Unnamed: 7,source_smi
37,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.26494085671151,0.775546437019877,0,,0
44,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.74,0.62,0.2078491734225417,0.7521281407731161,0,,0
55,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(F)cc8)cc7)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.1692542311439807,0.7463007921865421,0,,0
38,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5F)ccc4c3)[nH]2)cc1,0.74,0.6,0.2536042912217352,0.7622784907488079,0,,0
55,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6cc(F)ccc6-c6ccc(-c7ccncc7)cc6)cc5)ccc4c3)[nH]2)cc1,0.74,0.6,0.1688129331770341,0.7229711727570957,0,,0
49,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(-c7ccc(F)cc7)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.1858749124368174,0.7539857762756995,0,,0
43,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(F)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.2136991893266684,0.7648981622907299,0,,0
20,C[n+]1ccc(-c2ccnc(Nc3ccccc3)n2)cc1,0.92,0.73,0.7386993832064462,0.8628569295863779,0,,1
25,NC(=O)c1ccccc1Nc1ccnc(Nc2ccc(F)c(F)c2)n1,0.85,0.76,0.6617366011050438,0.8731126169506391,0,,1
27,Nc1nccc(-c2cccc(Nc3nccc(Nc4ccccc4)n3)c2)n1,0.79,0.57,0.4970761105179573,0.8652426495393652,0,,1
