size,smiles,gsk3b,jnk3,qed,sa,max_or_val,Unnamed: 7,source_smi
31,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(F)ccc4c3)[nH]2)cc1,0.73,0.67,0.3922329598091171,0.7799626660787791,0,,0
43,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(F)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.2136991893266684,0.7648981622907299,0,,0
49,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(-c7ccc(F)cc7)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.1858749124368174,0.7539857762756995,0,,0
38,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(F)cc5O)ccc4c3)[nH]2)cc1,0.75,0.53,0.2522923853792339,0.7565317774620949,0,,0
37,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.26494085671151,0.775546437019877,0,,0
44,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.74,0.62,0.2078491734225417,0.7521281407731161,0,,0
38,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5I)ccc4c3)[nH]2)cc1,0.77,0.6,0.1962208140842444,0.7490307984411158,0,,0
43,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5-c5ccncc5)ccc4c3)[nH]2)cc1,0.74,0.62,0.2139103605633889,0.7464888826814503,0,,0
22,c1cncc(-c2ccnc(Nc3ccc4scnc4c3)n2)c1,0.72,0.64,0.6218226056232325,0.8514022221618442,0,,1
25,NC(=O)c1ccccc1Nc1ccnc(Nc2cc(F)cc(F)c2)n1,0.81,0.77,0.6617366011050438,0.8640939820643985,0,,1
27,c1cc(Nc2ncc3c(n2)CCNC3)nc(Nc2ccc3n[nH]cc3c2)n1,0.72,0.54,0.4384510078955827,0.7677130697672854,0,,1
30,NNc1cc(-c2ccnc(Nc3ccc(-c4ccc5n[nH]cc5c4)cc3)n2)ccn1,0.88,0.69,0.2616493891372063,0.8090163395872383,0,,1
